index,time,S:London__all,S:Eyam__all,I:London__all,I:Eyam__all,obs_mean:Eyam__Kendall__inc,obs_mean:London__Creighton__inc,obs_real:Eyam__Kendall__inc,obs_real:London__Creighton__inc
0,245,345006,319,0,0,0,0,0,0
0,214,345006,319,0,0,0,16.2,0,20.6142
0,184,349897,319,12,0,0,486,0,484.958
0,153,352196,319,228,0,0,3482.1,0,3107.95
0,123,351731,319,1620,0,0,17427.6,0,14670.6
0,92,363066,319,6217,0,0,38626.2,0,41196.2
0,61,403759,319,8442,0,21.6,29911.5,22.7088,30681.2
0,31,444303,346,3355,0,3.6,11107.8,3.48637,13058
0,0,458384,347,1616,3,0,0,0,0
1,245,367608,347,0,0,0,2.7,0,4.44583
1,214,367610,347,1,0,0,66.6,0,70.6123
1,184,364011,347,18,0,0,488.7,0,539.775
1,153,374515,347,218,0,0,2895.3,0,2502.57
1,123,367351,347,1524,0,0,15369.3,0,14578.4
1,92,389891,347,4324,0,0,25939.8,0,28328.7
1,61,418969,346,5389,0,0,20171.7,0,21037.7
1,31,440547,346,4279,0,3.6,13656.6,2.35169,10273.5
1,0,458363,347,1637,3,0,0,0,0
2,245,295915,99,0,0,4.5,0,5.54807,0
2,214,295901,106,4,0,0.9,52.2,0.436487,47.9039
2,184,295934,106,29,1,21.6,599.4,22.5992,581.025
2,153,297071,123,412,0,24.3,5681.7,24.777,6001.18
2,123,298187,138,3128,7,74.7,28999.8,75.6222,30073.2
2,92,315745,238,11386,4,65.7,60593.4,57.6691,58710.7
2,61,381200,290,13257,25,25.2,44182.8,25.1737,45779
2,31,441563,346,4451,0,3.6,12587.4,4.49036,10748.2
2,0,458368,347,1632,3,0,0,0,0
3,245,341496,347,0,0,0,5.4,0,6.26583
3,214,341500,347,2,0,0,84.6,0,94.5161
3,184,341854,347,22,0,0,669.6,0,639.243
3,153,342474,347,398,0,0,4931.1,0,5052.47
3,123,345407,347,2396,0,0,20968.2,0,18761
3,92,356273,347,8846,0,0,41402.7,0,39944.5
3,61,395850,347,10327,0,0,34430.4,0,36211.3
3,31,436055,346,6435,0,3.6,15759,3.51005,14443.3
