S:London__all,S:Eyam__all,r0:London__all,r0:Eyam__all,e:all,d:all,mu_d:all,sto:London__all,sto:Eyam__all,rep:London__Creighton__inc,rep:Eyam__Kendall__inc,phi:all
0.000106623,2.41473e-05,-2.83786e-05,-5.43375e-05,-3.99669e-05,2.34809e-05,-5.29606e-05,0,0,0,0,0
2.41473e-05,1.08447e-05,6.75191e-06,-6.30085e-06,-1.14855e-05,2.88161e-06,-1.18748e-05,0,0,0,0,0
-2.83786e-05,6.75191e-06,5.27184e-05,3.2084e-05,-5.43438e-06,-1.18276e-05,1.14269e-05,0,0,0,0,0
-5.43375e-05,-6.30085e-06,3.2084e-05,5.89746e-05,5.17287e-06,-1.74109e-05,6.58285e-06,0,0,0,0,0
-3.99669e-05,-1.14855e-05,-5.43438e-06,5.17287e-06,3.95801e-05,-1.01155e-05,3.86372e-05,0,0,0,0,0
2.34809e-05,2.88161e-06,-1.18276e-05,-1.74109e-05,-1.01155e-05,1.00947e-05,-1.10339e-05,0,0,0,0,0
-5.29606e-05,-1.18748e-05,1.14269e-05,6.58285e-06,3.86372e-05,-1.10339e-05,5.15329e-05,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
