index,S:London__all,S:Eyam__all,r0:London__all,r0:Eyam__all,e:all,d:all,mu_d:all,sto:London__all,sto:Eyam__all,rep:London__Creighton__inc,rep:Eyam__Kendall__inc,phi:all,log_like
0,0.998329,0.990956,0.981615,1.32924,0.576883,0.299374,9.73855,0.1,0.1,1,1,0.1,-92.8416
1,0.998258,0.991375,1.00049,1.43751,0.580552,0.306682,9.89664,0.1,0.1,1,1,0.1,-86.8758
2,0.998258,0.991375,1.00049,1.43751,0.580552,0.306682,9.89664,0.1,0.1,1,1,0.1,-86.8758
3,0.998258,0.991375,1.00049,1.43751,0.580552,0.306682,9.89664,0.1,0.1,1,1,0.1,-86.8758
4,0.998258,0.991375,1.00049,1.43751,0.580552,0.306682,9.89664,0.1,0.1,1,1,0.1,-86.8758
5,0.998258,0.991375,1.00049,1.43751,0.580552,0.306682,9.89664,0.1,0.1,1,1,0.1,-86.8758
6,0.998258,0.991375,1.00049,1.43751,0.580552,0.306682,9.89664,0.1,0.1,1,1,0.1,-86.8758
7,0.998242,0.993994,1.01216,1.45584,0.574318,0.313609,9.89087,0.1,0.1,1,1,0.1,-86.751
8,0.998242,0.993994,1.01216,1.45584,0.574318,0.313609,9.89087,0.1,0.1,1,1,0.1,-86.751
9,0.998365,0.996053,1.00326,1.42657,0.560682,0.311409,9.68352,0.1,0.1,1,1,0.1,-86.859
10,0.998093,0.993287,1.03099,1.55717,0.572127,0.31674,9.92989,0.1,0.1,1,1,0.1,-86.1739
11,0.998157,0.995364,1.03206,1.59088,0.576365,0.317082,9.9214,0.1,0.1,1,1,0.1,-86.2501
12,0.998157,0.995364,1.03206,1.59088,0.576365,0.317082,9.9214,0.1,0.1,1,1,0.1,-86.2501
13,0.998157,0.995364,1.03206,1.59088,0.576365,0.317082,9.9214,0.1,0.1,1,1,0.1,-86.2501
14,0.998157,0.995364,1.03206,1.59088,0.576365,0.317082,9.9214,0.1,0.1,1,1,0.1,-86.2501
15,0.998157,0.995364,1.03206,1.59088,0.576365,0.317082,9.9214,0.1,0.1,1,1,0.1,-86.2501
16,0.998157,0.995364,1.03206,1.59088,0.576365,0.317082,9.9214,0.1,0.1,1,1,0.1,-86.2501
17,0.998158,0.997777,1.03271,1.64139,0.580069,0.320414,9.95005,0.1,0.1,1,1,0.1,-85.7139
18,0.998303,0.995732,0.973181,1.42828,0.569721,0.296672,9.70466,0.1,0.1,1,1,0.1,-85.2397
19,0.998303,0.995732,0.973181,1.42828,0.569721,0.296672,9.70466,0.1,0.1,1,1,0.1,-85.2397
20,0.998286,0.99531,0.977092,1.50208,0.573979,0.300181,9.85996,0.1,0.1,1,1,0.1,-84.3277
21,0.998286,0.99531,0.977092,1.50208,0.573979,0.300181,9.85996,0.1,0.1,1,1,0.1,-84.3277
22,0.998286,0.99531,0.977092,1.50208,0.573979,0.300181,9.85996,0.1,0.1,1,1,0.1,-84.3277
23,0.998286,0.99531,0.977092,1.50208,0.573979,0.300181,9.85996,0.1,0.1,1,1,0.1,-84.3277
24,0.998286,0.99531,0.977092,1.50208,0.573979,0.300181,9.85996,0.1,0.1,1,1,0.1,-84.3277
25,0.998286,0.99531,0.977092,1.50208,0.573979,0.300181,9.85996,0.1,0.1,1,1,0.1,-84.3277
26,0.998286,0.99531,0.977092,1.50208,0.573979,0.300181,9.85996,0.1,0.1,1,1,0.1,-84.3277
27,0.998286,0.99531,0.977092,1.50208,0.573979,0.300181,9.85996,0.1,0.1,1,1,0.1,-84.3277
28,0.998426,0.993075,0.970516,1.42532,0.565471,0.292263,9.74537,0.1,0.1,1,1,0.1,-85.5062
29,0.998426,0.993075,0.970516,1.42532,0.565471,0.292263,9.74537,0.1,0.1,1,1,0.1,-85.5062
30,0.998293,0.994338,0.946538,1.36823,0.565412,0.283927,9.64325,0.1,0.1,1,1,0.1,-85.1801
31,0.998293,0.994338,0.946538,1.36823,0.565412,0.283927,9.64325,0.1,0.1,1,1,0.1,-85.1801
32,0.998293,0.994338,0.946538,1.36823,0.565412,0.283927,9.64325,0.1,0.1,1,1,0.1,-85.1801
33,0.998293,0.994338,0.946538,1.36823,0.565412,0.283927,9.64325,0.1,0.1,1,1,0.1,-85.1801
34,0.998293,0.994338,0.946538,1.36823,0.565412,0.283927,9.64325,0.1,0.1,1,1,0.1,-85.1801
35,0.998293,0.994338,0.946538,1.36823,0.565412,0.283927,9.64325,0.1,0.1,1,1,0.1,-85.1801
36,0.998293,0.994338,0.946538,1.36823,0.565412,0.283927,9.64325,0.1,0.1,1,1,0.1,-85.1801
37,0.998293,0.994338,0.946538,1.36823,0.565412,0.283927,9.64325,0.1,0.1,1,1,0.1,-85.1801
38,0.998293,0.994338,0.946538,1.36823,0.565412,0.283927,9.64325,0.1,0.1,1,1,0.1,-85.1801
39,0.998293,0.994338,0.946538,1.36823,0.565412,0.283927,9.64325,0.1,0.1,1,1,0.1,-85.1801
40,0.998293,0.994338,0.946538,1.36823,0.565412,0.283927,9.64325,0.1,0.1,1,1,0.1,-85.1801
41,0.998064,0.997359,0.962373,1.53539,0.569269,0.293234,9.78939,0.1,0.1,1,1,0.1,-85.3088
42,0.998064,0.997359,0.962373,1.53539,0.569269,0.293234,9.78939,0.1,0.1,1,1,0.1,-85.3088
43,0.998064,0.997359,0.962373,1.53539,0.569269,0.293234,9.78939,0.1,0.1,1,1,0.1,-85.3088
44,0.998064,0.997359,0.962373,1.53539,0.569269,
