index,S:London__all,S:Eyam__all,r0:London__all,r0:Eyam__all,e:all,d:all,mu_d:all,sto:London__all,sto:Eyam__all,rep:London__Creighton__inc,rep:Eyam__Kendall__inc,phi:all,log_like
0,0.997489,0.990504,0.985379,1.26034,0.393522,0.284351,6.43001,0,0,0.39555,0.9,0.1,-132.469
1,0.997489,0.990504,0.985379,1.26034,0.393522,0.284351,6.43001,0,0,0.39555,0.9,0.1,-132.469
2,0.996597,0.99071,0.929273,1.1899,0.449616,0.251688,6.60076,0,0,0.318362,0.9,0.1,-91.0647
3,0.996597,0.99071,0.929273,1.1899,0.449616,0.251688,6.60076,0,0,0.318362,0.9,0.1,-91.0647
4,0.996597,0.99071,0.929273,1.1899,0.449616,0.251688,6.60076,0,0,0.318362,0.9,0.1,-91.0647
5,0.996985,0.988585,0.908243,1.09821,0.455547,0.248176,6.75778,0,0,0.49357,0.9,0.1,-87.7965
6,0.996985,0.988585,0.908243,1.09821,0.455547,0.248176,6.75778,0,0,0.49357,0.9,0.1,-87.7965
7,0.996985,0.988585,0.908243,1.09821,0.455547,0.248176,6.75778,0,0,0.49357,0.9,0.1,-87.7965
8,0.996985,0.988585,0.908243,1.09821,0.455547,0.248176,6.75778,0,0,0.49357,0.9,0.1,-87.7965
9,0.996985,0.988585,0.908243,1.09821,0.455547,0.248176,6.75778,0,0,0.49357,0.9,0.1,-87.7965
10,0.996985,0.988585,0.908243,1.09821,0.455547,0.248176,6.75778,0,0,0.49357,0.9,0.1,-87.7965
11,0.996985,0.988585,0.908243,1.09821,0.455547,0.248176,6.75778,0,0,0.49357,0.9,0.1,-87.7965
12,0.996985,0.988585,0.908243,1.09821,0.455547,0.248176,6.75778,0,0,0.49357,0.9,0.1,-87.7965
13,0.996985,0.988585,0.908243,1.09821,0.455547,0.248176,6.75778,0,0,0.49357,0.9,0.1,-87.7965
14,0.996985,0.988585,0.908243,1.09821,0.455547,0.248176,6.75778,0,0,0.49357,0.9,0.1,-87.7965
15,0.996985,0.988585,0.908243,1.09821,0.455547,0.248176,6.75778,0,0,0.49357,0.9,0.1,-87.7965
16,0.996985,0.988585,0.908243,1.09821,0.455547,0.248176,6.75778,0,0,0.49357,0.9,0.1,-87.7965
17,0.996985,0.988585,0.908243,1.09821,0.455547,0.248176,6.75778,0,0,0.49357,0.9,0.1,-87.7965
18,0.996985,0.988585,0.908243,1.09821,0.455547,0.248176,6.75778,0,0,0.49357,0.9,0.1,-87.7965
19,0.996985,0.988585,0.908243,1.09821,0.455547,0.248176,6.75778,0,0,0.49357,0.9,0.1,-87.7965
20,0.996985,0.988585,0.908243,1.09821,0.455547,0.248176,6.75778,0,0,0.49357,0.9,0.1,-87.7965
21,0.996985,0.988585,0.908243,1.09821,0.455547,0.248176,6.75778,0,0,0.49357,0.9,0.1,-87.7965
22,0.996985,0.988585,0.908243,1.09821,0.455547,0.248176,6.75778,0,0,0.49357,0.9,0.1,-87.7965
23,0.996985,0.988585,0.908243,1.09821,0.455547,0.248176,6.75778,0,0,0.49357,0.9,0.1,-87.7965
24,0.996985,0.988585,0.908243,1.09821,0.455547,0.248176,6.75778,0,0,0.49357,0.9,0.1,-87.7965
25,0.996985,0.988585,0.908243,1.09821,0.455547,0.248176,6.75778,0,0,0.49357,0.9,0.1,-87.7965
26,0.996985,0.988585,0.908243,1.09821,0.455547,0.248176,6.75778,0,0,0.49357,0.9,0.1,-87.7965
